Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Log_Price_dollars,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Cpu_Company_AMD,Cpu_Company_Intel,Memory_Structure_Categories_Flash,Memory_Structure_Categories_HDD,Memory_Structure_Categories_Hybrid,Memory_Structure_Categories_SSD,Gpu_Company_AMD,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Actual_LR,Predicted_LR,pctDiff_LR,Diff_LR,Actual_RF,Predicted_RF,pctDiff_RF,Diff_RF,Actual_NN,Predicted_NN,pctDiff_NN,Diff_NN
17.3,2.6,8,256,2.6,7.472500744737558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1759.0,1305.0,26.0,-454.0,1759.0,1325.0,25.0,-434.0,1759.0,1059.0,40.0,-700.0
15.6,2.6,8,128,2.6,7.243512974665482,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1399.0,1347.0,4.0,-52.0,1399.0,1291.0,8.0,-108.0,1399.0,1191.0,15.0,-208.0
15.6,2.6,16,128,2.6,7.0317412587631285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1132.0,1931.0,71.0,799.0,1132.0,1381.0,22.0,249.0,1132.0,1177.0,4.0,45.0
15.6,2.6,8,1000,2.6,6.8966943316227125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,989.0,1005.0,2.0,16.0,989.0,1006.0,2.0,17.0,989.0,999.0,1.0,10.0
17.0,3.0,8,1000,2.6,6.35088571671474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,573.0,625.0,9.0,52.0,573.0,1328.0,132.0,755.0,573.0,685.0,20.0,112.0
17.3,2.2,4,128,2.6,6.2878585601617845,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,538.0,484.0,10.0,-54.0,538.0,427.0,21.0,-111.0,538.0,346.0,36.0,-192.0
15.6,2.6,8,256,2.59,7.448333860897476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1717.0,1984.0,16.0,267.0,1717.0,2355.0,37.0,638.0,1717.0,2374.0,38.0,657.0
15.6,2.6,16,1000,2.59,6.874198495453294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,967.0,1597.0,65.0,630.0,967.0,1675.0,73.0,708.0,967.0,2139.0,121.0,1172.0
15.6,2.8,16,512,2.56,7.2254814727822945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1374.0,2298.0,67.0,924.0,1374.0,1892.0,38.0,518.0,1374.0,2068.0,51.0,694.0
15.6,2.8,8,128,2.56,7.062191632286556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1167.0,1578.0,35.0,411.0,1167.0,1413.0,21.0,246.0,1167.0,1323.0,13.0,156.0
